date,open,high,low,close,volume
20221013091000,22345,22345,22335,22340,234
20221013090900,22345,22350,22345,22350,21
20221013090800,22350,22350,22335,22350,143
20221013090600,22345,22345,22335,22335,550
20221013090400,22350,22350,22335,22335,150
20221013090200,22350,22350,22350,22350,50
20221013090100,22350,22350,22350,22350,40
20221013090000,22375,22375,22375,22375,90
20221012153500,22415,22415,22415,22415,142
20221012153000,22415,22415,22415,22415,1602
20221012151900,22440,22440,22400,22430,1433
20221012151700,22435,22440,22435,22435,106
20221012151600,22430,22435,22430,22435,630
20221012151500,22430,22435,22430,22430,1030
20221012151400,22430,22430,22425,22430,1286
20221012151300,22430,22430,22430,22430,2028
20221012151200,22430,22430,22430,22430,1079
20221012151100,22425,22430,22420,22430,1403
20221012151000,22420,22425,22420,22425,1392
20221012150900,22420,22420,22420,22420,1139
20221012150800,22420,22420,22415,22420,1415
20221012150700,22415,22420,22415,22420,1681
20221012150600,22410,22415,22410,22415,1269
20221012150500,22400,22410,22400,22410,1981
20221012150400,22400,22400,22400,22400,2557
20221012150300,22405,22410,22400,22400,1476
20221012150200,22405,22410,22405,22405,1363
20221012150100,22405,22410,22405,22405,1593
20221012150000,22405,22405,22405,22405,1288
20221012145900,22400,22405,22400,22405,1594
20221012145800,22400,22405,22395,22405,1348
20221012145700,22395,22405,22395,22405,1124
20221012145600,22395,22405,22395,22395,1379
20221012145500,22410,22410,22395,22395,1715
20221012145400,22405,22410,22405,22410,1626
20221012145300,22395,22410,22395,22410,1109
20221012145200,22405,22405,22400,22405,1821
20221012145100,22395,22405,22395,22405,335
20221012145000,22405,22405,22395,22405,1708
20221012144900,22400,22400,22395,22400,1385
20221012144800,22400,22400,22390,22400,1696
20221012144700,22385,22400,22385,22400,8169
20221012144600,22380,22380,22380,22380,1165
20221012144500,22380,22385,22380,22380,2430
20221012144400,22375,22380,22375,22380,3266
20221012144300,22360,22375,22360,22375,1121
20221012144200,22360,22360,22360,22360,2441
20221012144100,22360,22365,22360,22360,2532
20221012144000,22365,22365,22355,22365,1633
20221012143900,22380,22380,22360,22365,2767
20221012143800,22375,22385,22370,22385,1435
20221012143700,22380,22390,22365,22385,2010
20221012143600,22385,22395,22380,22390,953
20221012143500,22390,22390,22385,22385,1181
20221012143400,22390,22390,22390,22390,96
20221012143300,22385,22390,22380,22390,338
20221012143200,22385,22385,22385,22385,182
20221012143100,22380,22385,22380,22385,203
20221012143000,22380,22380,22380,22380,187
20221012142900,22380,22380,22380,22380,282
20221012142800,22380,22380,22380,22380,195
20221012142700,22380,22385,22380,22380,192
20221012142600,22380,22380,22380,22380,185
20221012142500,22375,22375,22375,22375,184
20221012142400,22365,22370,22365,22370,200
20221012142300,22365,22365,22365,22365,91
20221012142200,22365,22365,22365,22365,3
20221012142100,22360,22365,22360,22365,18
20221012142000,22360,22360,22360,22360,4
20221012141900,22355,22355,22355,22355,3
20221012141800,22350,22360,22350,22355,32
20221012141700,22355,22360,22350,22360,38
20221012141600,22375,22375,22355,22355,81
20221012141500,22375,22375,22375,22375,11
20221012141400,22375,22375,22375,22375,60
20221012141300,22375,22375,22375,22375,2
20221012141200,22375,22375,22375,22375,11
20221012141100,22365,22365,22365,22365,3
20221012141000,22365,22365,22365,22365,11
20221012140900,22370,22370,22365,22365,11
20221012140800,22355,22355,22355,22355,8
20221012140700,22350,22355,22350,22355,198
20221012140600,22350,22350,22350,22350,10
20221012140500,22355,22355,22350,22350,85
20221012140400,22375,22375,22355,22355,53
20221012140300,22400,22400,22370,22370,339
20221012140200,22400,22400,22395,22395,22
20221012140100,22400,22405,22400,22405,33
20221012140000,22415,22415,22415,22415,28
20221012135900,22415,22415,22415,22415,3
20221012135800,22415,22415,22415,22415,25
20221012135700,22415,22415,22415,22415,33
20221012135600,22410,22415,22410,22415,226
20221012135500,22410,22410,22410,22410,2
20221012135400,22415,22415,22415,22415,53
20221012135300,22410,22415,22410,22415,18
20221012135200,22405,22405,22405,22405,156
20221012135100,22405,22405,22405,22405,2
20221012135000,22405,22405,22405,22405,20
20221012134900,22405,22405,22405,22405,2
20221012134800,22400,22405,22400,22405,7
20221012134700,22400,22405,22400,22405,7
20221012134600,22405,22405,22395,22400,15
20221012134500,22405,22405,22405,22405,2
20221012134400,22405,22405,22405,22405,10
20221012134300,22395,22400,22395,22400,39
20221012134200,22395,22395,22395,22395,2
20221012134100,22405,22405,22370,22370,4010
20221012134000,22405,22405,22405,22405,24
20221012133900,22405,22405,22405,22405,12
20221012133800,22405,22405,22405,22405,10
20221012133700,22410,22410,22410,22410,2
20221012133600,22410,22410,22390,22410,108
20221012133500,22410,22410,22410,22410,9
20221012133400,22410,22410,22410,22410,2
20221012133300,22410,22410,22410,22410,2
20221012133200,22400,22410,22395,22405,157
20221012133100,22420,22420,22400,22400,142
20221012133000,22420,22420,22420,22420,2
20221012132900,22420,22420,22420,22420,19
20221012132800,22410,22415,22410,22415,51
20221012132700,22410,22410,22410,22410,2
20221012132600,22410,22410,22400,22410,212
20221012132500,22410,22410,22405,22410,431
20221012132400,22415,22415,22395,22395,128
20221012132300,22405,22410,22405,22410,460
20221012132200,22400,22400,22400,22400,10
20221012132100,22400,22400,22400,22400,3
20221012132000,22395,22395,22395,22395,10
20221012131900,22370,22395,22370,22395,5
20221012131800,22385,22395,22385,22395,51
20221012131700,22380,22385,22380,22385,6
20221012131600,22380,22380,22380,22380,21
20221012131500,22375,22380,22370,22380,18
20221012131400,22375,22375,22375,22375,102
20221012131300,22370,22390,22370,22375,34
20221012131200,22365,22370,22365,22370,21
20221012131100,22345,22360,22345,22360,658
20221012131000,22345,22345,22345,22345,30
20221012130900,22345,22345,22345,22345,21
20221012130800,22345,22345,22345,22345,22
20221012130700,22345,22345,22340,22340,129
20221012130600,22350,22350,22325,22350,112
20221012130500,22340,22350,22340,22350,41
20221012130400,22325,22350,22320,22345,882
20221012130300,22310,22325,22310,22325,318
20221012130200,22310,22310,22310,22310,22
20221012130100,22310,22310,22310,22310,33
20221012130000,22310,22310,22310,22310,23
20221012125900,22320,22320,22305,22305,21
20221012125800,22310,22320,22310,22320,20
20221012125700,22305,22305,22305,22305,11
20221012125600,22300,22300,22300,22300,10
20221012125500,22290,22295,22290,22295,19
20221012125400,22285,22285,22285,22285,20
20221012125300,22280,22280,22280,22280,1020
20221012125200,22280,22280,22280,22280,12
20221012125100,22280,22280,22280,22280,12
20221012125000,22280,22280,22280,22280,2
20221012124900,22270,22280,22270,22280,11
20221012124800,22280,22280,22280,22280,2
20221012124700,22280,22280,22280,22280,12
20221012124600,22280,22280,22280,22280,10
20221012124500,22280,22280,22280,22280,3
20221012124400,22275,22280,22270,22280,12
20221012124300,22275,22275,22275,22275,2
20221012124200,22275,22275,22275,22275,10
20221012124100,22275,22275,22275,22275,3
20221012124000,22275,22275,22275,22275,12
20221012123900,22275,22275,22275,22275,9
20221012123800,22275,22275,22275,22275,3
